emp_id,name,age,salary(INR),experience(Years),city,department,performance_rating(5)
107,Vihaan,inf,34265.0,-2.0,Delhi,Engineering,
108,Diya,,inf,6.0,Jaipur,Marketing,inf
109,Krishna,,inf,26.0,Chennai,Admin,
110,Aadhya,inf,32598.0,5.0,Kolkata,Finance,-1.0
111,Aarohi,,inf,inf,Mumbai,Sales,
112,Aadhya,-1.0,inf,14.0,Chennai,Support,
113,Saanvi,inf,,-2.0,Ahmedabad,Sales,
114,Aarav,-1.0,120063.0,9.0,Delhi,Marketing,inf
115,Ira,-1.0,,20.0,Mumbai,Engineering,2.0
116,Aditya,inf,inf,inf,Kolkata,Sales,2.0
117,Aadhya,47.0,inf,,Mumbai,Marketing,4.0
118,Aarav,,-5000.0,,Chennai,Finance,inf
119,Myra,-1.0,-5000.0,,Delhi,Admin,inf
120,Aarav,49.0,inf,inf,Kolkata,Sales,inf
121,Aarav,-1.0,,inf,Delhi,Marketing,inf
122,Riya,inf,,,Bangalore,Finance,5.0
123,Riya,-1.0,,-2.0,Delhi,Engineering,-1.0
124,Sai,-1.0,-5000.0,inf,Pune,R&D,
125,Ananya,inf,inf,,Ahmedabad,HR,3.0
126,Rohan,inf,24858.0,,Delhi,Finance,inf
127,Ira,57.0,-5000.0,inf,Jaipur,Engineering,inf
128,Vihaan,41.0,-5000.0,-2.0,Pune,R&D,-1.0
129,Aadhya,,inf,21.0,Chennai,Finance,3.0
130,Aarohi,,-5000.0,21.0,Lucknow,Engineering,
131,Diya,28.0,inf,-2.0,Jaipur,Finance,
132,Aarav,,-5000.0,inf,Hyderabad,Marketing,-1.0
133,Aditya,38.0,148087.0,-2.0,Lucknow,Admin,-1.0
134,Sai,-1.0,129733.0,,Hyderabad,R&D,
135,Ira,-1.0,inf,,Lucknow,R&D,
136,Diya,inf,-5000.0,-2.0,Ahmedabad,HR,
137,Aarohi,26.0,89727.0,,Pune,Engineering,4.0
138,Krishna,,inf,inf,Jaipur,Support,inf
139,Aditya,-1.0,,,Bangalore,Engineering,
140,Prisha,inf,132598.0,5.0,Ahmedabad,Marketing,inf
141,Vihaan,-1.0,93944.0,-2.0,Kolkata,R&D,1.0
142,Prisha,58.0,-5000.0,inf,Mumbai,Support,inf
143,Sai,,32741.0,inf,Mumbai,Admin,
144,Aarav,42.0,-5000.0,40.0,Lucknow,Support,2.0
145,Aadhya,,inf,-2.0,Bangalore,Finance,4.0
146,Rohan,32.0,67289.0,,Jaipur,Admin,inf
147,Ishaan,-1.0,,,Ahmedabad,Finance,inf
148,Diya,inf,-5000.0,inf,Chennai,Sales,inf
149,Aditya,-1.0,,6.0,Chennai,Sales,inf
150,Navya,-1.0,,28.0,Chennai,Admin,3.0
151,Aditya,inf,-5000.0,-2.0,Lucknow,R&D,-1.0
152,Aditya,,inf,36.0,Lucknow,Engineering,
153,Aadhya,48.0,,,Ahmedabad,Marketing,1.0
154,Sai,inf,,inf,Hyderabad,Sales,-1.0
155,Vihaan,28.0,-5000.0,28.0,Chennai,Support,
156,Rohan,-1.0,-5000.0,-2.0,Bangalore,Marketing,4.0
157,Aadhya,,-5000.0,39.0,Delhi,Sales,inf
158,Riya,inf,-5000.0,20.0,Pune,R&D,
159,Arjun,-1.0,inf,32.0,Delhi,Engineering,-1.0
160,Sai,-1.0,,,Hyderabad,Sales,
161,Navya,54.0,-5000.0,-2.0,Bangalore,Support,5.0
162,Aarav,25.0,-5000.0,inf,Lucknow,HR,
163,Rohan,-1.0,,29.0,Mumbai,Engineering,inf
164,Prisha,-1.0,-5000.0,,Chennai,Admin,
165,Riya,55.0,-5000.0,29.0,Ahmedabad,R&D,-1.0
166,Vihaan,,inf,-2.0,Chennai,Support,-1.0
167,Prisha,inf,,31.0,Delhi,Admin,inf
168,Krishna,,27755.0,inf,Lucknow,R&D,3.0
169,Vihaan,-1.0,,,Mumbai,Admin,-1.0
170,Aadhya,,inf,inf,Jaipur,Sales,5.0
171,Arjun,inf,,,Bangalore,Marketing,inf
172,Riya,22.0,-5000.0,inf,Jaipur,R&D,-1.0
173,Ananya,,inf,,Lucknow,Support,inf
174,Saanvi,inf,,21.0,Kolkata,Sales,inf
175,Ishaan,-1.0,inf,inf,Bangalore,Marketing,1.0
176,Reyansh,inf,inf,inf,Hyderabad,Admin,inf
177,Vivaan,-1.0,inf,inf,Chennai,Engineering,
178,Aarohi,,-5000.0,,Jaipur,Sales,
179,Rohan,inf,inf,,Ahmedabad,Finance,inf
180,Diya,-1.0,91140.0,18.0,Chennai,R&D,inf
181,Reyansh,,-5000.0,-2.0,Hyderabad,HR,-1.0
182,Krishna,23.0,,30.0,Bangalore,HR,-1.0
183,Myra,inf,,,Mumbai,Finance,-1.0
184,Aarohi,-1.0,-5000.0,inf,Pune,Engineering,3.0
185,Aarav,39.0,,inf,Bangalore,R&D,-1.0
186,Vihaan,-1.0,,11.0,Chennai,Sales,-1.0
187,Sai,inf,,inf,Delhi,Engineering,inf
188,Ananya,35.0,inf,inf,Ahmedabad,Support,3.0
189,Ishaan,-1.0,31285.0,,Bangalore,Admin,
190,Vihaan,,-5000.0,-2.0,Pune,Engineering,
191,Myra,inf,-5000.0,38.0,Jaipur,R&D,
192,Aditya,56.0,-5000.0,-2.0,Bangalore,Support,inf
193,Vihaan,inf,inf,inf,Bangalore,Admin,4.0
194,Aarohi,,inf,16.0,Hyderabad,Finance,inf
195,Aadhya,24.0,inf,,Kolkata,Engineering,inf
196,Aadhya,inf,inf,-2.0,Chennai,Finance,inf
197,Riya,-1.0,15910.0,inf,Jaipur,Admin,inf
198,Krishna,inf,-5000.0,-2.0,Delhi,HR,4.0
199,Krishna,33.0,41449.0,28.0,Hyderabad,HR,inf
200,Krishna,-1.0,-5000.0,,Hyderabad,Support,
6,Vihaan,,,,Chennai,Marketing,3.0
11,Navya,inf,inf,,Jaipur,HR,
16,Riya,48.0,-5000.0,,Mumbai,Marketing,-1.0
